rok,wojewodztwo,teryt,zuzycie_energii_GWh,cena_energii_zl_kWh,ludnosc,ludnosc_miasto,urbanizacja_pct,pkb_mln_zl,hdd,cdd,dochod_os
2004,dolnośląskie,02,1633,0.39,2893055,2053442,70.98,71297,3376.7,1.83,8986.32
2004,kujawsko-pomorskie,04,1152,0.39,2068258,1276853,61.74,44573,3504.43,1.07,7834.08
2004,lubelskie,06,886,0.42,2185156,1019992,46.68,38504,3594.02,2.58,8120.4
2004,lubuskie,08,599,0.4,1009168,648212,64.23,21925,3174.92,3.01,7852.44
2004,łódzkie,10,1469,0.41,2587702,1674882,64.72,59178,3398.66,8.18,8766.36
2004,małopolskie,12,2399,0.41,3260201,1621606,49.74,70800,3545.21,3.28,8611.32
2004,mazowieckie,14,3506,0.41,5145997,3329863,64.71,191572,3584.62,2.65,11282.16
2004,opolskie,16,675,0.38,1051531,554028,52.69,21936,3314.13,3.72,8935.68
2004,podkarpackie,18,787,0.41,2097975,848719,40.45,37090,3459.59,6.49,7025.16
2004,podlaskie,20,503,0.42,1202425,710828,59.12,22180,3903.72,0.01,7738.56
2004,pomorskie,22,1519,0.41,2194041,1481361,67.52,52239,3625.86,0.32,9039.84
2004,śląskie,24,3323,0.42,4700771,3702639,78.77,128080,3420.08,4.19,8979.48
2004,świętokrzyskie,26,492,0.4,1288693,586665,45.52,25874,3533.12,4.73,7385.52
2004,warmińsko-mazurskie,28,788,0.4,1428714,858820,60.11,26391,3795.84,0.06,7892.16
2004,wielkopolskie,30,2061,0.42,3365283,1927840,57.29,88369,3336.18,3.22,8410.2
2004,zachodniopomorskie,32,1012,0.41,1694865,1174336,69.29,37330,3427.97,0.45,9144.48
2005,dolnośląskie,02,1728,0.4,2888232,2052094,71.05,77290,3475.07,14.67,9335.28
2005,kujawsko-pomorskie,04,1270,0.4,2068253,1272615,61.53,46328,3505,9.79,7968.24
2005,lubelskie,06,1161,0.44,2179611,1016865,46.65,40277,3635.49,14.17,8068.44
2005,lubuskie,08,640,0.42,1009198,647054,64.12,23710,3207.18,11.29,8295
2005,łódzkie,10,1683,0.42,2577465,1665261,64.61,62749,3463.14,21.81,9227.64
2005,małopolskie,12,2745,0.43,3266187,1619398,49.58,75277,3686.74,13.62,8787.24
2005,mazowieckie,14,3927,0.42,5157729,3338255,64.72,207303,3581.49,9.09,11255.64
2005,opolskie,16,738,0.4,1047407,551238,52.63,22615,3434.98,17.95,9555.6
2005,podkarpackie,18,998,0.42,2098263,846826,40.36,39113,3571.33,19.51,7428.24
2005,podlaskie,20,681,0.44,1199689,709950,59.18,23527,3885.74,3.59,8696.16
2005,pomorskie,22,1575,0.43,2199043,1480133,67.31,56034,3559.63,0.94,9612.96
2005,śląskie,24,3354,0.42,4685775,3685324,78.65,130712,3549.59,16.21,9513.84
2005,świętokrzyskie,26,632,0.42,1285007,583488,45.41,26153,3606.32,15.25,7452.12
2005,warmińsko-mazurskie,28,874,0.42,1428601,857850,60.05,27870,3737.45,4.39,8415.12
2005,wielkopolskie,30,2194,0.44,3372417,1925481,57.09,94579,3373.1,13.78,8863.32
2005,zachodniopomorskie,32,1053,0.42,1694178,1171908,69.17,39758,3363.79,3.09,9150.48
2006,dolnośląskie,02,1897,0.42,2882317,2042653,70.87,86479,3349.45,43.17,10235.76
2006,kujawsko-pomorskie,04,1365,0.43,2066371,1267250,61.33,50143,3443.59,47.41,9252.96
2006,lubelskie,06,1297,0.46,2172766,1013049,46.62,42788,3632.24,14.3,8701.2
2006,lubuskie,08,668,0.44,1008520,645551,64.01,25449,3074.26,76.88,10107.48
2006,łódzkie,10,1802,0.44,2566198,1657288,64.58,67524,3402.34,46.52,10042.8
2006,małopolskie,12,2368,0.44,3271206,1618146,49.47,83078,3570.79,15.31,9181.2
2006,mazowieckie,14,4045,0.44,5171702,3346700,64.71,225468,3574.15,30.29,12585.6
2006,opolskie,16,786,0.41,1041941,547815,52.58,23848,3320.56,50.86,9538.8
2006,podkarpackie,18,1048,0.45,2097564,849937,40.52,41860,3473.8,12.59,7761.12
2006,podlaskie,20,790,0.46,1196101,711597,59.49,24944,3826.32,14.65,9793.2
2006,pomorskie,22,1620,0.44,2203595,1477253,67.04,60680,3413.12,12.9,10926.12
2006,śląskie,24,3345,0.43,4669137,3666080,78.52,138700,3406.62,33.99,10175.04
2006,świętokrzyskie,26,676,0.45,1279838,579832,45.31,28768,3574.09,24.14,8381.28
2006,warmińsko-mazurskie,28,917,0.44,1426883,855934,59.99,29860,3637.66,20.03,8957.88
2006,wielkopolskie,30,2331,0.45,3378502,1921528,56.88,101142,3282.46,65.11,9769.92
2006,zachodniopomorskie,32,1067,0.45,1692838,1168265,69.01,42644,3243.97,19.53,10017
2007,dolnośląskie,02,1934,0.42,2878410,2033536,70.65,97280,3105.97,15.34,11411.52
2007,kujawsko-pomorskie,04,1404,0.44,2066136,1262577,61.11,55358,3207.84,16.45,10774.56
2007,lubelskie,06,1319,0.48,2166213,1008656,46.56,47816,3358.87,30.18,9499.32
2007,lubuskie,08,666,0.45,1008481,643941,63.85,28077,2881.41,19.07,10971.6
2007,łódzkie,10,1816,0.46,2555898,1647086,64.44,74640,3176.77,19.7,10931.88
2007,małopolskie,12,2383,0.45,3279036,1619751,49.4,90999,3322.2,21.92,10372.44
2007,mazowieckie,14,4163,0.45,5188488,3356370,64.69,250953,3312.89,16.18,14485.8
2007,opolskie,16,774,0.42,1037088,544395,52.49,27160,3073.25,22.96,10988.4
2007,podkarpackie,18,1078,0.45,2097338,850665,40.56,45782,3231.8,44.68,8408.04
2007,podlaskie,20,809,0.47,1192660,710098,59.54,28174,3575.05,8.47,10607.88
2007,pomorskie,22,1639,0.45,2210920,1474874,66.71,67425,3247.58,8.31,12361.92
2007,śląskie,24,3304,0.43,4654115,3647193,78.36,152502,3205.93,23.8,11031.24
2007,świętokrzyskie,26,687,0.44,1275550,578969,45.39,32311,3331.69,22.09,9306.84
